overall,food,service,ambience,review
5,5,5,5,"A perfect restaurant, in terms of ambience, service drink, and food.Our servers were very knowledgeable and skilled  about the menu and gracious hospitality."
5,5,5,5,Always good . one of the best in the Hamptons you can even hear everyone at the table which is rare these days.
4,3,5,5,"We would go every few months but instead go every few years simply to see if things have changed with the food preparation. They have not.  The menu always tempts but the food is always under-flavored, (not just under-seasoned, which some dishes are), and yet the salad is always too salty.   Frustrating because we are strongly drawn to this elegant room, comforting yet sophisticated inn ambience, superb service, good wine choices, well-made drinks, lovely venue."
5,5,5,5,Absolutely loved the ambiance and charm of 1770. Waiter was very knowledgeable of food and wine recommendations. The food was amazing we will definitely return !
5,5,5,5,I love the chicken cooked to perfection on its bed of delicate mushed potatoes the sticky dates cales is out of this world.
5,5,5,5,Our meal and service were both excellent
5,5,5,5,"1770 House continues to be East Hamptons best restaurant....Creative menu, great service and a sensational value during restaurant week."
5,5,5,5,Best place in East Hampton. They are consistently lovely. The food was delicious a wonderful dinning experience. Recommend highly.
5,5,5,5,Such a cozy place and wonderful staff! The food is delicious! They just need to have a heavier pour with wine. That鈥檚 my only suggestion.
5,5,5,5,"1770 House was fabulous, as usual. Going there for Restaurant Week made it a tremendous bargain. I still would highly recommend it even when it is not Restaurant Week."
5,5,5,5,Delightful. Food delicious. Service perfect. We had a very enjoyable evening.
5,5,5,5,"We have eaten at 1770 House before.  It has always been a true fine dining experience.  The service was perfect, and the food delicious.  The main dining room is charming and uncrowded.  The 1770 refers to when the building became an inn, the building itself dates back to the 1600鈥檚.  It is usually fairly expensive, but a tremendous bargain for restaurant week.  One of the best for a truly special occasion."
4,4,5,5,Nice quiet restaurant but for an one of the more expensive restaurants the menu is much too limited
5,5,5,5,Consistently a wonderful experience. I enjoy it above most places in the Hamptons.
5,5,5,5,"Had lovely, quiet, low-key dinner with great food. Wine list a bit pricey."
5,5,5,5,"One of our favorite places!  Great food, atmosphere & service."
5,5,5,5,We took our family there for a special gathering and the only negative thing I can say is that the parking was a little challenging. There is no parking lot so  during the weekend so it鈥檚 a little hard to find a parking spot and if your parked on the other side of the road pedestrian crossing is challenging! The food was absolutely delicious and we were honored to have a visit from the executive chef who gave us some personal al recommendations! I鈥檓 sorry we ate so much we had no room for dessert!
4,4,5,5,The homemade fettuccine was excellent. We ate in the tavern which was a more relaxed atmosphere. Friends had the meatloaf and veal cheeks which they said were good. The pork ribs were also good however the swordfish was dry and not up to par.
5,5,5,5,"THE  STAFF FROM THE MOMENT WE WALKED IN WAS SO COMFORTING AND FRIENDLY AND HOSPITABLE LIKE GOING TO TOUR FAVORITE FAMILY MEMBERS HOUSE THE BEAUTIFUL FIRE PLACES THE WOOD WORK WAS BEAUTIFUL ,THE FOOD WAS PREPARED PERFECT AND TASTED LIKE IT WAS CAN'T WAIT TO RETURN DURING THE COMING HOLIDAYS"
5,5,5,5,It was excellent!  Never been disappointed.  One of our favorite places to dine.
